MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,SOURCE_ROW,RANDOM_VALUE
1,24,2,NK,214,LAS,DFW,-11,9,57,449,8,-26,0,0,112,1055,970,0.11865775844012705
1,19,4,WN,120,BWI,MDW,-1,11,2150,2225,6,-14,0,0,95,611,1522,0.11881221435588252
1,16,1,WN,4602,OAK,DEN,8,11,2019,2328,6,9,0,0,129,957,1589,0.11932336448630287
1,3,2,B6,748,LAS,JFK,28,14,1652,2350,14,8,0,0,238,2248,317,0.11966929257323722
1,7,6,AA,1839,SFO,CLT,-5,17,27,731,6,-28,0,0,244,2296,204,0.11974488940843431
1,19,4,AA,2043,CLT,PBI,13,11,2234,2358,5,6,0,0,84,590,39,0.12060121812467828
1,15,7,UA,1200,SFO,IAH,-3,16,103,621,7,0,0,0,198,1635,1351,0.12066076742344378
1,9,1,DL,1189,BWI,SLC,8,11,1654,1937,7,10,0,0,283,1865,602,0.12098474160306627
1,12,4,DL,263,MSP,DCA,-5,14,719,1009,3,-34,0,0,110,931,793,0.12135140946700318
1,12,4,WN,300,SAT,MCI,-2,10,1353,1523,20,-2,0,0,90,706,1673,0.12217991622647173
1,19,4,AA,2036,CLT,SYR,-1,33,1708,1836,3,10,0,0,88,603,279,0.12242955536339772
1,22,7,UA,432,LAS,ORD,2,14,721,1216,11,-13,0,0,175,1514,1331,0.12263025578150699
1,24,2,NK,610,FLL,BOS,-3,16,718,1015,9,14,0,0,177,1237,966,0.12306227239534784
1,10,2,NK,304,MCO,ACY,-7,13,2106,2255,4,-6,0,0,109,852,893,0.12344246285772631
1,28,6,B6,308,JFK,PWM,-2,24,1335,1424,3,0,0,0,49,273,350,0.1243214058023333
1,25,3,B6,536,FLL,SWF,-8,12,1530,1801,6,-16,0,0,151,1118,580,0.12569700433701914
1,25,3,B6,1232,LGA,BOS,-13,51,1818,1851,5,-9,0,0,33,184,515,0.1265524859589986
1,24,2,DL,1678,ATL,SRQ,-2,21,1045,1149,3,-3,0,0,64,444,754,0.126713125089711
1,3,2,UA,261,LAX,MCO,-6,9,836,1536,4,-39,0,0,240,2218,1380,0.1268299145392079
1,2,1,NK,845,DTW,FLL,-4,15,1850,2128,7,-8,0,0,158,1127,1017,0.12730868413447383
1,20,5,UA,511,IAD,ORD,1,21,1742,1814,6,-9,0,0,92,588,1421,0.12810781985446795
1,5,4,DL,1302,ATL,SDF,-3,10,1042,1135,5,-13,0,0,53,321,853,0.12956803291835284
1,17,2,DL,846,MSN,DTW,-7,31,1419,1607,19,8,0,0,48,311,722,0.13171881526694895
1,27,5,UA,1439,IAH,LGA,5,12,1812,2151,6,-21,0,0,159,1416,1318,0.13280004324085448
1,8,7,DL,816,LAS,ATL,41,15,956,1608,4,15,0,0,192,1747,787,0.1328622595520047
1,4,3,B6,182,BNA,FLL,42,13,1717,2010,6,33,0,0,113,793,413,0.1330036544918557
1,19,4,DL,2247,ECP,ATL,-6,20,1819,1959,14,-16,0,0,40,240,647,0.13336840399174543
1,23,1,DL,411,ATL,IAH,57,20,1041,1118,5,44,0,0,97,689,656,0.1337988999599099
1,5,4,WN,1875,LAX,OAK,11,11,1312,1411,6,7,0,0,59,337,1527,0.1340224340174081
1,17,2,B6,288,LAX,BOS,-8,10,702,1454,9,-18,0,0,292,2611,384,0.13405602160502061
1,13,5,NK,810,MSY,DTW,-13,12,1303,1604,8,-20,0,0,121,926,1155,0.1341812103991471
1,5,4,DL,2813,JFK,BOS,-6,25,1949,2030,2,-24,0,0,41,187,760,0.13465622609143435
1,18,3,B6,959,BDL,FLL,-2,12,710,951,6,-26,0,0,161,1173,423,0.1362067939086642
1,31,2,AA,1849,LGA,CLT,-5,32,1032,1201,6,-23,0,0,89,544,214,0.1362939690335544
1,30,1,NK,675,MCO,FLL,-5,17,712,746,7,-11,0,0,34,177,1169,0.13633550942394335
1,4,3,DL,1656,PBI,ATL,18,15,1413,1534,9,5,0,0,81,545,627,0.13698100048897777
1,7,6,AA,2091,CLT,DFW,11,85,906,1036,10,78,0,0,150,936,247,0.13813556398701665
1,19,4,WN,4387,SNA,SJC,16,9,2045,2201,4,30,0,0,76,342,1702,0.13893728572364716
1,29,7,AA,867,CHS,CLT,-7,10,923,1002,21,-9,0,0,39,168,64,0.1405160784481988
1,5,4,DL,1955,LGA,ATL,-3,10,2002,2208,4,-32,0,0,126,762,690,0.14107533571054753
1,18,3,AA,1790,LAX,CLT,-7,13,1316,2022,22,-12,0,0,246,2125,122,0.1436033738271365
1,13,5,AA,2386,IAH,DFW,-7,27,1838,1920,17,2,0,0,42,224,233,0.14411106575225352
1,4,3,AA,1442,STL,DFW,-2,24,815,956,8,9,0,0,101,550,240,0.14432408270894392
