MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,SOURCE_ROW,RANDOM_VALUE
1,1,7,UA,1221,HNL,LAX,253,17,1416,2055,20,240,0,0,279,2556,1344,0.07319684167204277
1,24,2,B6,1316,FLL,JAX,-3,25,1835,1932,5,7,0,0,57,319,497,0.07360525740382262
1,23,1,WN,1832,SMF,BWI,1,9,640,1357,5,-28,0,0,257,2395,1624,0.0736872386969678
1,28,6,WN,1926,PVD,MCO,-4,10,1701,2009,8,12,0,0,188,1072,1479,0.07422177778236272
1,13,5,DL,1513,DTW,ATL,2,10,1646,1823,7,-18,0,0,97,594,786,0.07444303651901019
1,31,2,AA,630,FLL,PHL,-2,9,1652,1918,8,-1,0,0,146,992,53,0.07479385529979099
1,5,4,WN,1190,OAK,GEG,-1,9,918,1053,5,-12,0,0,95,723,1598,0.07621899657439601
1,31,2,UA,1166,SAT,IAH,-9,11,1527,1604,6,-20,0,0,37,191,1361,0.07648698945908461
1,25,3,B6,1243,DCA,CHS,-7,16,1905,2024,2,-15,0,0,79,444,310,0.07854382334049692
1,9,1,WN,1681,MDW,PHX,2,17,1814,2046,8,4,0,0,212,1444,1685,0.07958298477154813
1,2,1,AA,1690,CLT,STL,2,18,1459,1538,6,5,0,0,99,575,196,0.08001365926234472
1,17,2,AA,2437,ATL,LAX,42,17,1154,1311,10,15,0,0,257,1946,205,0.08265607278603548
1,1,7,NK,183,LBE,RSW,-8,9,1332,1549,3,-22,0,0,137,956,900,0.08266958740116426
1,24,2,UA,813,IAH,EWR,3,23,1644,2021,10,-17,0,0,157,1400,1319,0.0841107359315294
1,30,1,B6,801,MCO,SLC,-6,10,1902,2130,8,-18,0,0,268,1931,377,0.08569509296803146
1,22,7,NK,198,FLL,MCO,-4,14,824,903,6,-4,0,0,39,177,1050,0.08714879506438133
1,4,3,DL,2008,ATL,SAT,-5,20,1010,1127,7,-7,0,0,137,874,792,0.088017252392528
